DCG000002,L3-SRX-TUNNEL-GA,10.250.128.2,None,L3,1,Tunnel,None,None,
DCG000003,L3-SRX-TUNNEL-TX,10.251.128.2,None,L3,1,Tunnel,None,None,
DCG000005,S001-Courthouse-Segment-FW,10.100.128.100,172.31.64.101,Palo Alto,1,PA-5020,8.1.15-h3,0011C100283:,
DCG000006,S166-WEX-Segment-FW,10.100.128.193,172.26.160.10,Palo Alto,1,PA-5020,8.1.15-h3,0011C100298:,
DCG000007,S166-WEX-LB-Ext-Host,10.100.128.7,172.31.64.9,F5,1,BIG-IP i4600,13.1.5,f5-agoc-lvnw:,
DCG000008,S001-Courthouse-LB-Ext-Host,10.100.128.8,172.31.64.8,F5,1,BIG-IP i4600,13.1.5,f5-ojdj-csqt:,
DCG000009,S001-Courthouse-DMZ,10.100.128.32,172.31.64.12,Juniper,2,ex4300-48t,18.1R3-S6.1,PE3714100609:PE3714100898:,
DCG000010,S001-Courthouse-VPN-Gateway,10.100.128.17,172.31.239.174,Juniper,1,Juniper SRX650 Internet Router,JUNOS Software Release [12.3X48-D60.2],AJ2112AA0111:,
DCG000013,S001-Courthouse-Gfl-1,10.100.128.33,172.31.160.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0215090518:,
DCG000014,S001-Courthouse-Gfl-2,10.100.128.34,172.31.160.6,Juniper,1,ex2200-48p-4g,15.1R5.5,CT0212181145:,
DCG000015,S001-Courthouse-1fl-1,10.100.128.18,172.31.161.4,Juniper,2,ex3400-48p,18.2R3-S7.4,NY0217510385:NY0217510400:,
DCG000017,S001-Courthouse-2fl,10.100.128.20,172.31.162.4,Juniper,3,ex3300-48p,15.1R7-S8.1,GB0215090258:GB0216310436:GB0215340377:,
DCG000018,S001-Courthouse-3fl,10.100.128.21,172.31.163.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215090251:GB0215090217:,
DCG000019,S001-Courthouse-4fl,10.100.128.22,172.31.164.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215090090:GB0214136148:,
DCG000020,S001-Courthouse-5fl,10.100.128.23,172.31.165.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215090302:GB0215090345:,
DCG000021,S001-Courthouse-6fl-1,10.100.128.24,172.31.166.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0214136630:GB0218510251:,
DCG000022,S001-Courthouse-7fl,10.100.128.25,172.31.167.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215090240:GB0215090262:,
DCG000023,S001-Courthouse-8fl,10.100.128.26,172.31.168.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215090075:GB0215090547:,
DCG000024,S001-Courthouse-9fl,10.100.128.27,172.31.169.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215090341:GB0216310123:,
DCG000025,S001-Courthouse-Server-1,10.100.128.29,172.31.204.4,Juniper,2,ex3400-48p,15.1X53-D592.1,NY0217510094:NY0217510071:,
DCG000026,S001-Courthouse-Server-2,10.100.128.36,172.31.204.6,Juniper,1,ex4550-32f,12.3R8.7,LX0213388533:,
DCG000027,S001-Courthouse-ClearPass,10.100.129.103,172.31.83.100,Aruba,1,\\C3000 (R630)\\,6.9.9.133760,1HKVV52:,
DCG000028,S001-Courthouse-WLAN,10.100.129.98,172.31.83.5,Aruba,1,A7240-US,8.6.0.15,CX0002018:,
DCG000031,S002-Maloof-Annex-1,10.100.128.210,172.31.17.2,Juniper,1,ex4300-48p,18.1R3-S8.3,PD3715110729:,
DCG000032,S002-Maloof-Annex-2,10.100.128.209,172.31.45.4,Juniper,2,ex3300-48p,15.1R5.5,GB0215230543:GB0215230240:,
DCG000033,S002-Maloof-Annex-BOC,10.100.128.80,172.31.159.4,Juniper,2,ex3300-48p,15.1R5.5,GB0214136030:GB0214135860:,
DCG000034,S003-Maloof-Admin-MDF,10.100.128.234,172.31.12.2,Juniper,2,ex4600-40f,18.4R3-S11.1,TC3716430163:TC3716430168:,
DCG000035,S003-Maloof-Admin-1fl,10.100.128.228,172.31.133.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0214135940:GB0215090401:,
DCG000036,S003-Maloof-Admin-2fl,10.100.128.229,172.31.134.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0214135999:GB0214137056:,
DCG000037,S003-Maloof-Admin-3fl,10.100.128.230,172.31.135.4,Juniper,3,ex3300-48p,15.1R7-S8.1,GB0214370109:GB0212446320:GE0214504946:,
DCG000038,S003-Maloof-Admin-4fl,10.100.128.231,172.31.136.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0215310928:GB0215311186:,
DCG000039,S003-Maloof-Admin-5fl,10.100.128.232,172.31.137.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0212466571:GB0214320761:,
DCG000040,S003-Maloof-Admin-6fl,10.100.128.233,172.31.138.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0214136064:GB0214136564:,
DCG000041,S004-Public-Defend,10.100.128.245,172.31.170.1,Juniper,4,ex3300-48p,15.1R7-S8.1,GB0214136101:GB0214136911:GB0214135898:GB0214500367:,
DCG000042,S005-Burgess-IT-MDF-1,10.100.129.87,172.31.239.245,Juniper,1,ex4600-40f,18.4R3-S11.1,TC3715360030:,
DCG000043,S005-Burgess-IT-MDF-2,10.100.129.88,172.31.239.246,Juniper,1,ex4600-40f,18.4R3-S11.1,TC3715300013:,
DCG000044,S005-Burgess-Magistrate-Court,10.100.128.10,172.31.40.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0212446219:GB0214135897:,
DCG000045,S005-Burgess-PS-Gfl,10.100.129.126,172.31.26.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214320164:,
DCG000046,S005-Burgess-PS-1fl,10.100.129.8,172.31.27.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214136580:,
DCG000047,S005-Burgess-PS-TRAFF,10.100.129.127,172.31.27.5,Juniper,3,ex3400-48p,18.2R3-S7.4,NY3619160662:NY3619100326:NY0217510392:,
DCG000048,S005-Burgess-AnimalSrv,10.100.129.6,172.31.25.4,Juniper,1,ex3400-48p,20.2R3.9,NY3621250193:,
DCG000049,S005-Burgess-PS-911,10.100.129.5,172.16.35.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214270382:,
DCG000050,S005-Burgess-PS-3fl,10.100.129.4,172.31.175.6,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214320010:,
DCG000051,S005-Burgess-PS-ELS,10.100.129.128,172.31.29.4,Juniper,1,ex2300-48p,15.1X53-D593.4,JW0218440223:,
DCG000052,S005-Burgess-PS-2fl,10.100.129.3,172.31.178.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0213325683:,
DCG000053,S005-Burgess-IT-2fl-1,10.100.129.93,172.27.71.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3714210375:PD3717050333:,
DCG000054,S005-Burgess-IT-2fl-2,10.100.129.94,172.27.72.4,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3715310281:,
DCG000055,S005-Burgess-IT-2fl-3,10.100.129.95,172.27.73.4,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3715310002:,
DCG000056,S005-Burgess-IT-3fl-1,10.100.129.89,172.27.74.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3715160345:PD3715310593:,
DCG000057,S005-Burgess-IT-3fl-2,10.100.129.90,172.27.75.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3715310457:PD3715310020:,
DCG000058,S005-Burgess-IT-3fl-3,10.100.129.91,172.27.76.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3715310452:PD3715310654:,
DCG000059,S005-Burgess-IT-3fl-4,10.100.129.92,172.27.78.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0214360855:GB0213347814:,
DCG000060,S005-Burgess-IT-Network-Test,10.100.129.129,172.27.78.5,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3715030167:,
DCG000061,S005-Burgess-IT-4fl-Helo,10.100.129.145,172.31.32.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0215090548:,
DCG000062,S008-Fleet-Maintain-B-Hub,10.100.129.46,172.31.239.248,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3714040059:,
DCG000063,S009-Roadhaven-Hub,10.100.129.57,172.31.239.209,Juniper,1,ex4600-40f,18.4R3-S11.1,TC3715270055:,
